Song Name,Artist,Length,BPM,Level To Unlock,Easy,Hard,Master,Hidden,Pack,Song Cover
Iyaiya,小野道ono,2:01,128,1,1,4,,,Default,https://gamepedia.cursecdn.com/musedash_gamepedia_en/thumb/7/75/Iyaiya.png/80px-Iyaiya.png?version=6a2750de3263525210e33bfc9849ffa7
Wonderful Pain,Haloweak,1:51,138,1,1,3,,,Default,https://gamepedia.cursecdn.com/musedash_gamepedia_en/thumb/e/e4/Wonderful_Pain.png/80px-Wonderful_Pain.png?version=b74071ba89f9d83179458c4416bdb257
Breaking Dawn,TetraCalyx,1:38,140,1,2,4,,,Default,https://gamepedia.cursecdn.com/musedash_gamepedia_en/thumb/6/6b/Breaking_Dawn.png/80px-Breaking_Dawn.png?version=232428e8bd57adbbab99010d09363932
单向地铁 Feat.karin,小野道ono,1:52,128,1,1,4,,,Default,https://gamepedia.cursecdn.com/musedash_gamepedia_en/thumb/3/3b/%E5%96%AE%E5%90%91%E5%9C%B0%E9%90%B5.png/80px-%E5%96%AE%E5%90%91%E5%9C%B0%E9%90%B5.png?version=fb716482ba8c56a898e10a0874c06ae6
Frost Land,Zris,1:58,111,2,1,3,6,,Default,https://gamepedia.cursecdn.com/musedash_gamepedia_en/thumb/e/e4/Frost_Land.png/80px-Frost_Land.png?version=c6b219a3edcd82aa07e92cc0cfd0d20c
Heart-Pounding Flight,TetraCalyx,1:30,150,3,2,5,,,Default,https://gamepedia.cursecdn.com/musedash_gamepedia_en/thumb/8/85/Heart-Pounding_Flight.png/80px-Heart-Pounding_Flight.png?version=57a82c38bb67f36efae076b45f6e6a85
Pancake is Love,3R2,1:46,155,4,2,4,6,,Default,https://gamepedia.cursecdn.com/musedash_gamepedia_en/thumb/6/6d/Pancake_is_Love.png/80px-Pancake_is_Love.png?version=2bea32b343ecc59d86b9f2fd2f55216a
时光涂鸦,TetraCalyx,1:36,158,5,2,5,,,Default,https://gamepedia.cursecdn.com/musedash_gamepedia_en/thumb/c/cb/%E6%99%82%E5%85%89%E5%A1%97%E9%B4%89.png/80px-%E6%99%82%E5%85%89%E5%A1%97%E9%B4%89.png?version=99f3f6573cf656d43d3f0cf68e53cfb4
Evolution,Haloweak,1:43,130,6,2,4,7,,Default,https://gamepedia.cursecdn.com/musedash_gamepedia_en/thumb/5/53/Evolution.png/80px-Evolution.png?version=c8582749e11e12abcc3033678ae4e5f0
海豚与广播 feat.Uranyan,小野道ono,1:34,128,7,2,5,,,Default,https://gamepedia.cursecdn.com/musedash_gamepedia_en/thumb/e/e0/%E6%B5%B7%E8%B1%9A%E8%88%87%E5%BB%A3%E6%92%AD.png/80px-%E6%B5%B7%E8%B1%9A%E8%88%87%E5%BB%A3%E6%92%AD.png?version=e046159c9f6e0deb47ab01d83ab2ccb1
Yuki no Shizuku Ame no Oto,Tianyou feat.Tokyo Tower,2:29,130,8,2,4,6,,Default,https://gamepedia.cursecdn.com/musedash_gamepedia_en/thumb/e/ec/%E9%9B%AA%E3%81%AE%E9%9B%AB%E3%83%BB%E9%9B%A8%E3%81%AE%E9%9F%B3.png/80px-%E9%9B%AA%E3%81%AE%E9%9B%AB%E3%83%BB%E9%9B%A8%E3%81%AE%E9%9F%B3.png?version=301ff6edaae6094fb6be93f1b7f4f8a0
Best One feat.墨橙,小野道ono,2:21,110,9,3,5,,,Default,https://gamepedia.cursecdn.com/musedash_gamepedia_en/thumb/2/29/Best_One.png/80px-Best_One.png?version=e053bd1cf42c1d9a363f733e3271d2c4
